ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B005CVCDEI","SHOWA","Showa 377XL Multipurpose Gloves Blue Nitrile Coated 13 Gauge Polyester Nylon Backing Fabric Complete Plus Nitrile Foam on Palm, XL, Blue","DIY & Tools",,"1","MFN","5.28","2.66","4","21.12","236,482","4.5","7","0","4.9x11.7x0.9","0.18","Large Standard-Size","2",,
"B00YTT0QFM","Hy5",,,,"n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B086LFVQWK","bottlewise","100pcs Disposable Vinyl Gloves Transparent Powder-Free & Latex-Free Large Clear Multi-purpose Protective Gloves for Left or Right Hand","DIY & Tools",,"2","MFN","16.99","0.00","66","1,121.34","12,657","-1","0","0","n/a","n/a","n/a","7",,
"B005G3R4GY","SHOWA","Showa 380 M 13 Gauge Nylon Backing Fabric Nitrile Multipurpose Gloves with Microporous Coating on Palm, M, Blue/Black","DIY & Tools",,"1","MFN","4.68","2.10",,,,"4.5","26","1","4.2x10.6x0.6","0.09","Small Standard-Size","2",,
"B0865Q2346","BYKJY",,,,"n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B07R1HP2XM","Duzzit","2 X Pack of 100 Disposable Clear Gloves","DIY & Tools",,"9","MFN","6.08","0.00","3,900","23,712.00","300","3.5","19","7","n/a","n/a","n/a","1",,
"B0866GGG84","Garneck",,,,"n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B07XWDXQHD","db","3 x Pair of Garden, general use Multipurpose Utility Glove Stringknits 76-261 Glove 7 (3)","DIY & Tools",,"1","MFN","0.01","0.00","8","0.08","114,153","-1","0","0","n/a","n/a","n/a","2",,
"B086166FBJ","BGH","BGH ER-NMBGH 50 Pairs Disposable Multi-Purpose,Nitrile Gloves,Protective Gloves,Rubber Latex Free","Sports & Outdoors",,"1","MFN","16.49","0.00","12","197.88","59,331","-1","0","0","n/a","n/a","n/a","5",,
"B0865SQDLK","Bxchx",,,,"n/a","N/A","0.00","0.00",,,,"-1","0","n/a","n/a",,"n/a",,,
"B086GRZYRZ","Chiefstore","100 pcs Disposable Glove for Adults Women Men Blue Nitrile Gloves for Cooking, Painting, Medical, Multipurpose,Home Outdoor Essential (Adult)","Business, Industry & Science",,"1","MFN","16.59","4.15","0","0.00","0","-1","0","0","0.4x0.4x0.4","0.44","Small Standard-Size","7",,
"B003K156JG","Ansell","Ansell HyFlex 11-801 Work Gloves Multi-purpose, Mechanics Glove with improved Grip and Comfort Technology, White Grey Size 7 (Pack of 12)","DIY & Tools",,"2","AMZ","44.73","8.98",,,,"4.5","144","0","5.3x9.5x4.4","0.7","Large Standard-Size","7",,
